h2tg000001l	68626	562518	23.7797	0.00418818
h2tg000002l	55058	440011	23.6624	0.00430292
h2tg000003l	535248	1077934	16.5966	0.0218945
h2tg000004l	1050498	1089296	9.91427	0.101994
h2tg000005l	171880	185194	10.8929	0.0814162
h2tg000006l	889572	922400	9.91331	0.102016
h2tg000007l	747229	784042	10.2709	0.0939537
h2tg000008l	71207	576725	23.7243	0.00424201
h2tg000009l	0	231283	+inf	0
h2tg000010l	0	813281	+inf	0
h2tg000011l	0	316386	+inf	0
h2tg000012l	0	1532813	+inf	0
h2tg000013l	0	270027	+inf	0
h2tg000014l	0	1090491	+inf	0
h2tg000015l	0	744814	+inf	0
h2tg000016l	2	666887	70.1438	9.67424e-08
